127.0.0.1 - - [22/Jan/2021:17:07:59 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:12:23 +0530] "GET /smartDoc/index.jsp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [22/Jan/2021:17:12:23 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
127.0.0.1 - - [22/Jan/2021:17:21:53 +0530] "GET /smartDoc/webapi/myresource/getDoctorByUserPass/nikitha@123/123 HTTP/1.1" 200 196
127.0.0.1 - - [22/Jan/2021:17:21:53 +0530] "GET /smartDoc/webapi/myresource/getDoctorByUserPass/nikitha@123/123 HTTP/1.1" 200 196
127.0.0.1 - - [22/Jan/2021:17:21:53 +0530] "GET /smartDoc/webapi/myresource/getAllAppointments/Cardiologist HTTP/1.1" 200 2000
127.0.0.1 - - [22/Jan/2021:17:21:53 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [22/Jan/2021:17:21:53 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
127.0.0.1 - - [22/Jan/2021:17:21:54 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
127.0.0.1 - - [22/Jan/2021:17:21:54 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [22/Jan/2021:17:21:54 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
127.0.0.1 - - [22/Jan/2021:17:21:54 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
127.0.0.1 - - [22/Jan/2021:17:21:54 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [22/Jan/2021:17:21:55 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
127.0.0.1 - - [22/Jan/2021:17:21:55 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
127.0.0.1 - - [22/Jan/2021:17:22:06 +0530] "GET /smartDoc/webapi/myresource/getAllAppointments/Cardiologist HTTP/1.1" 200 2000
127.0.0.1 - - [22/Jan/2021:17:22:07 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [22/Jan/2021:17:22:07 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
127.0.0.1 - - [22/Jan/2021:17:22:07 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
127.0.0.1 - - [22/Jan/2021:17:23:19 +0530] "GET /smartDoc/webapi/myresource/getUpcomingAppointments/Cardiologist HTTP/1.1" 200 203
127.0.0.1 - - [22/Jan/2021:17:23:20 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [22/Jan/2021:17:23:20 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
127.0.0.1 - - [22/Jan/2021:17:23:20 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
127.0.0.1 - - [22/Jan/2021:17:23:23 +0530] "GET /smartDoc/webapi/myresource/getAppointmentsByUserName/sample123 HTTP/1.1" 200 402
127.0.0.1 - - [22/Jan/2021:17:23:24 +0530] "GET /smartDoc/webapi/myresource/getPatientByUserName/sample123 HTTP/1.1" 200 195
127.0.0.1 - - [22/Jan/2021:17:23:46 +0530] "GET /smartDoc/webapi/myresource/getUpcomingAppointments/Cardiologist HTTP/1.1" 200 203
127.0.0.1 - - [22/Jan/2021:17:23:47 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [22/Jan/2021:17:23:47 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
127.0.0.1 - - [22/Jan/2021:17:23:47 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
127.0.0.1 - - [22/Jan/2021:17:27:28 +0530] "GET /smartDoc/webapi/myresource/getDoctorByUserPass/nikitha@123/123 HTTP/1.1" 200 196
127.0.0.1 - - [22/Jan/2021:17:27:29 +0530] "GET /smartDoc/webapi/myresource/getAllAppointments/Cardiologist HTTP/1.1" 200 2000
127.0.0.1 - - [22/Jan/2021:17:27:29 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [22/Jan/2021:17:27:29 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
127.0.0.1 - - [22/Jan/2021:17:27:29 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
127.0.0.1 - - [22/Jan/2021:17:45:50 +0530] "GET /smartDoc/webapi/myresource/getDoctorByUserPass/nikitha@123/123 HTTP/1.1" 200 196
127.0.0.1 - - [22/Jan/2021:17:45:51 +0530] "GET /smartDoc/webapi/myresource/getAllAppointments/Cardiologist HTTP/1.1" 200 2000
127.0.0.1 - - [22/Jan/2021:17:45:51 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [22/Jan/2021:17:45:51 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
127.0.0.1 - - [22/Jan/2021:17:45:51 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
127.0.0.1 - - [22/Jan/2021:17:45:52 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [22/Jan/2021:17:45:52 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
127.0.0.1 - - [22/Jan/2021:17:45:52 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.ttf HTTP/1.1" 404 1130
127.0.0.1 - - [22/Jan/2021:17:45:53 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1132
127.0.0.1 - - [22/Jan/2021:17:45:53 +0530] "GET /fonts/bootstrap/glyphicons-halflings-regular.woff HTTP/1.1" 404 1131
